번호_시군구명,업체명,소재지,신고일자,근로_수의사수
248 경산시,함께하는 동물병원,경상북도 경산시 압량읍 신대리 465번지  ,2017-02-23,1
249 경산시,다원동물병원,경상북도 경산시 와촌면 동강리 140번지  ,2016-12-23,2
250 경산시,우리집동물병원,경상북도 경산시 중방동 829번지 8호  ,2016-12-13,1
251 경산시,다정동물병원,경상북도 경산시 옥산동 734번지 1호  ,2016-08-05,1
252 경산시,영대연합동물병원,경상북도 경산시 조영동 283번지 1호  ,2016-05-09,1
253 경산시,늘봄동물병원,경상북도 경산시 하양읍 금락리 116번지 157호  ,2015-12-16,1
254 경산시,기운찬 동물병원,경상북도 경산시 사동 28번지  ,2015-03-27,1
255 경산시,경산축산농협 동물병원,경상북도 경산시 자인면 서부리 662번지 9호  ,2012-05-24,1
256 경산시,더그린 컨설팅&크리닉,경상북도 경산시 용성면 용전리 435번지  ,2009-10-12,1
257 군위군,대구가축병원,경상북도 군위군 군위읍 동부리 396번지 1호 2통  ,1968-02-10,1
258 군위군,도수의과가축병원,경상북도 군위군 군위읍 서부리 591번지 13통  ,1992-10-07,1
259 군위군,버팔로 동물병원,경상북도 군위군 군위읍 서부리 126번지 9호  ,2014-10-02,1
260 군위군,박성준 동물병원,경상북도 군위군 군위읍 동부리 324번지 1호 2통  ,1996-05-17,1
261 군위군,우성동물병원,경상북도 군위군 군위읍 서부리 151번지 31호  ,2005-06-15,1
262 군위군,와이제이클리닉,경상북도 군위군 군위읍 서부리 151번지 29호  ,2021-01-11,0
263 의성군,경의,경상북도 의성군 의성읍 후죽리 474번지 5호 2통  ,1983-05-07,1
264 의성군,중부,경상북도 의성군 의성읍 도동리 971번지 6호  ,2001-01-11,1
265 의성군,의성동물병원,경상북도 의성군 의성읍 도동리 908번지 17호  ,1995-01-05,1
266 의성군,동산,경상북도 의성군 금성면 대리리 59번지 6호  ,1965-12-09,1
267 의성군,의성축협동물병원,경상북도 의성군 봉양면 도원리 802번지 1호  ,2007-06-27,1
268 의성군,협동,경상북도 의성군 안계면 용기리 839번지 2호 1통  ,1965-10-19,1
269 의성군,김수의과 동물병원,경상북도 의성군 안계면 용기리  ,1996-04-21,1
270 의성군,중앙,경상북도 의성군 다인면 서릉리 158번지 9호  ,1995-04-26,1
271 의성군,도리원 동물병원,경상북도 의성군 봉양면 화전리 96번지 3호  ,2014-09-23,1
272 의성군,백산동물병원,경상북도 의성군 안계면 용기리 527번지 5호  ,2018-09-04,1
273 의성군,하누동물병원,경상북도 의성군 의성읍 도서리 122번지 1호  ,2018-09-04,1
274 의성군,한솔동물병원,경상북도 의성군 봉양면 화전리 573번지 1호  ,2019-08-07,0
275 의성군,다온동물병원,경상북도 의성군 안계면 용기리 848번지 23호  ,2020-08-04,0
276 의성군,다호동물병원,경상북도 의성군 봉양면 화전리 78번지 8호  ,2020-08-04,0
277 청송군,진보동물병원,경상북도 청송군 진보면 진안리 465번지 5호 카페거기 ,2017-09-27,1
278 청송군,청송동물병원,경상북도 청송군 진보면 진안리 125번지 11호  ,2020-10-20,0
279 영양군,국립생태원 멸종위기종복원센터 동물병원,경상북도 영양군 영양읍 대천리 360번지 국립멸종위기종복원센터 ,2021-02-16,2
280 영양군,청송영양축협동물병원(영양지점),경상북도 영양군 영양읍 서부리 247번지 5호 청송영양축협 ,2019-12-30,1
281 영양군,국립생태원 멸종위기종복원센터,경상북도 영양군 영양읍 대천리 360번지 국립멸종위기종복원센터 ,2021-02-16,0
282 영덕군,영덕종합동물병원,경상북도 영덕군 영덕읍 남석리 5번지 10호  ,2010-09-28,1
283 영덕군,영덕울진축협 동물병원,경상북도 영덕군 영덕읍 화수리 592번지  ,2013-10-08,1
284 영덕군,영덕사랑동물병원,경상북도 영덕군 영덕읍 덕곡리 215번지 1호  ,2018-10-10,1
285 청도군,고려동물병원,경상북도 청도군 청도읍 고수리 854번지 1호 8통 11반  ,1993-03-15,1
286 청도군,우성동물병원,경상북도 청도군 청도읍 원정리 534번지 3호  ,2007-06-05,1
287 청도군,청도축협동물병원,경상북도 청도군 화양읍 동천리 139번지 2호  ,2006-05-24,1
288 청도군,박동물병원,경상북도 청도군 풍각면 송서리 578번지 9호 16통 5반  ,1996-06-25,1
