식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
551216,불철주야,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
552373,룸블랑,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
553236,해남식당,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,470.6275380,N,N,N,,,뼈해장국
553373,카페그란데(조대점),광주광역시 동구,N,N,N,N,Y,N,,매일 07:30~21:30,N,N,N,,,,,,,,N,N,N,,,아메리카노 그란데
553440,미미집(광주충장점),광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~22:00,N,N,Y,,,,문화전당역(구도청),35.1464409,126.9198890,173.8538010,N,N,N,,,밀푀유나베
554610,고래등한식뷔페,광주광역시 동구,N,N,N,N,Y,N,일요일,매일 11:00~20:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,564.5743420,N,N,N,,,아구찜
555178,파파이스(충장로점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
555493,투모아(대인점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,432.2105600,N,N,N,,,
556303,커피라붐,광주광역시 동구,N,N,N,N,N,N,,매일 09:30~23:00,N,N,N,,,,학동증심사입구역,35.1333493,126.9284320,556.9066100,N,N,N,,,
556501,캠토,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,로얄토스트
556722,연예,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
556725,꼬레스토(본점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,633.4388890,N,N,N,,,
556912,칠미손만두(조대여고점),광주광역시 동구,N,N,N,N,Y,N,,매일 10:00~22:00,N,N,N,전화예약,,https://www.instagram.com/hubeei0000,,,,,N,N,N,,,칠미 손만두
557229,해리스카페(충장점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
557287,코발트,광주광역시 동구,Y,Y,N,N,Y,Y,월요일,매일 10:00~23:00,N,N,Y,전화예약,,,문화전당역(구도청),35.1464409,126.9198890,634.0581290,N,N,N,,,사계절을 담은 아보카도 코브샐러드
557288,티앗,광주광역시 동구,N,Y,N,Y,Y,Y,,매일 11:30~22:00,N,N,N,전화예약,,"http://www.teaat.co.kr,http://instagram.com/teaat_nam",문화전당역(구도청),35.1464409,126.9198890,566.8676660,N,N,N,,,티앗 홍차라떼
557847,낙지천국,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
558158,빅다방(충장로점),광주광역시 동구,N,Y,N,N,Y,Y,,,N,N,Y,,,,문화전당역(구도청),35.1464409,126.9198890,525.0117780,N,Y,Y,,,아메리카노
558979,블루포트(조선대학교점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
